CTR22A	CTR22B	CTR22C	CTR37A	CTR37B	CTR37C	CTR37D	CTR205A	CTR205B	CTR205C	CTR205D	CTR205E	CTR205F	CTR205G	SCZ8A	SCZ8B	SCZ8C	SCZ8D	SCZ29A	SCZ29B	SCZ29C	SCZ51A	SCZ51B	SCZ51C	SCZ51D	SCZ51E	SCZ51F	SCZ51G
3.8-1.4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	4	0	0	0	4	1	4	4	0	1	1
3.8-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1BG	384	286	63	156	174	227	194	345	249	340	279	296	301	241	221	258	255	248	518	310	297	265	239	257	450	66	64	85
A1BG-AS1	41	28	31	23	34	36	65	64	50	57	51	65	64	64	25	36	28	71	26	24	67	17	34	76	117	22	28	21
A1CF	6	6	1	2	1	3	5	3	4	3	4	8	7	9	3	4	3	14	3	3	2	0	0	3	5	0	3	0
A2M	1757	7658	2032	50965	12720	8946	8026	8483	46089	18179	82742	37102	58991	9946	60695	84650	69141	47306	64432	95298	38320	63929	37007	31472	13826	13527	14064	8306
A2M-AS1	1	3	5	22	22	29	13	18	11	17	9	7	6	44	3	9	4	6	56	136	62	5	5	8	61	2	2	3
A2ML1	17	51	43	21	34	16	39	107	37	33	125	79	42	16	46	65	65	38	29	118	13	5	56	30	22	20	15	20
A2MP1	1	0	0	0	0	0	6	0	1	0	0	1	4	1	0	0	2	7	0	0	0	0	0	6	2	0	1	1
A3GALT2	2	2	1	4	5	6	25	4	2	2	0	2	2	4	3	10	7	51	1	0	3	1	2	11	3	1	0	0
A4GALT	175	51	381	14	79	226	46	197	123	116	25	457	74	193	5	6	3	2	839	179	1589	118	7	236	1037	47	26	32
A4GNT	0	0	0	1	0	2	8	3	0	2	0	1	1	1	0	0	0	0	1	2	1	1	1	1	0	0	0	0
ABAT	9717	10025	9870	15609	15753	11085	12187	12438	9374	6079	11375	14639	17520	9822	17103	18756	19496	15735	3036	12664	1223	8310	13700	3992	3187	5765	6417	7863
ABCA1	3125	4205	2118	9116	8295	5387	8737	3594	4639	3011	6807	3759	3548	6795	13463	10237	13219	17310	13702	10492	13485	5657	11537	9204	5848	3068	4150	2198
ABCA10	13	1	4	6	9	30	46	5	8	4	2	39	6	24	3	3	4	1	78	40	103	3	1	93	198	4	1	4
ABCA11P	143	150	115	218	304	406	334	428	303	120	272	378	436	309	249	212	260	369	184	242	344	166	273	321	324	122	117	168
ABCA12	10	18	17	68	24	44	42	55	26	12	26	42	62	44	20	28	31	25	15	47	17	46	31	63	68	8	10	12
ABCA13	435	86	189	57	62	64	85	475	211	750	164	74	850	27	28	48	17	36	27	29	29	136	150	682	342	49	37	67
ABCA17P	11	9	4	15	23	29	15	24	23	17	18	21	24	21	13	11	8	19	4	13	7	8	12	21	28	2	10	6
ABCA2	4185	2811	2538	5078	6034	7323	7177	7772	6030	4137	6040	5014	6153	4808	2983	3885	4232	5123	4665	4552	3750	2981	2820	5725	7523	1809	2464	2697
ABCA3	7679	6956	4435	9267	9594	11480	6552	11140	8746	6904	9187	7707	9772	8117	6281	7083	6863	5622	3753	4127	870	5974	7194	4825	4849	3356	4682	5007
ABCA4	89	128	57	14	111	183	107	42	83	164	37	90	44	21	86	39	17	147	176	85	19	38	31	1014	735	21	24	71
ABCA5	217	154	249	128	268	160	484	334	511	96	303	1159	346	388	68	149	134	165	183	1363	247	422	210	479	966	193	59	168
ABCA6	1	1	7	1	1	11	3	2	0	0	1	25	6	15	0	0	0	1	1	0	12	1	3	17	18	2	1	1
ABCA7	518	312	291	239	296	328	1061	624	384	697	393	411	578	300	276	347	407	782	407	470	375	449	280	2313	2260	190	206	263
ABCA8	64	54	120	122	160	144	174	287	152	106	94	881	291	177	11	4	0	4	206	240	204	107	42	257	331	78	17	81
ABCA9	3	0	5	6	20	13	19	4	11	4	1	29	5	6	1	0	0	1	1	11	13	0	1	11	28	1	1	2
ABCB1	25	28	23	7	86	91	60	263	467	87	232	125	76	106	117	30	6	73	119	168	21	232	61	93	55	4	29	52
ABCB10	1150	1223	438	944	1029	1118	1027	827	737	387	733	763	917	1072	1074	1124	1269	1017	804	791	844	820	1305	673	986	389	499	495
ABCB10P1	25	29	10	14	24	25	20	37	15	18	16	18	15	23	26	22	16	17	17	22	12	19	35	16	23	8	5	7
ABCB11	25	29	5	41	24	10	38	24	3	2	71	36	38	16	59	119	91	169	33	97	7	26	106	28	21	25	15	11
ABCB4	45	19	26	39	41	69	37	161	291	90	64	217	179	86	196	26	7	182	30	33	79	37	16	130	36	10	35	44
ABCB5	0	0	0	0	2	0	5	0	0	1	0	3	0	1	1	0	0	3	0	0	0	1	2	1	2	0	0	0
ABCB6	1802	1769	747	1159	1127	1125	1331	1614	1391	945	1278	1363	1525	977	986	1550	1236	1451	1387	2534	1094	1757	1044	1623	1936	494	663	538
ABCB7	2029	1495	706	1053	1407	1312	1049	1315	1164	703	1316	1144	1435	1075	1219	1479	1979	1112	993	1134	951	1486	1573	1221	988	535	623	576
ABCB8	695	1023	490	1213	1054	1056	1394	1507	824	1080	1235	1237	1452	1322	987	1418	1173	1389	1225	1793	1534	1507	1444	1287	1744	477	525	577
ABCB9	575	462	196	298	330	300	267	380	489	305	334	324	306	405	469	423	527	375	314	427	630	407	359	331	485	198	203	223
ABCC1	3514	1972	1411	2322	2776	2220	2464	3172	2309	2497	3234	2273	3251	3248	2786	2796	2496	3049	3411	2083	3877	2173	2795	3549	5982	1418	1565	1643
ABCC10	440	415	301	643	516	560	1129	863	659	748	777	730	899	753	674	587	699	1622	634	805	1057	929	849	1230	1345	309	410	371
ABCC11	6	8	12	7	5	12	11	12	13	5	10	11	12	15	8	12	4	4	4	8	15	4	2	25	30	6	3	6
ABCC12	1	1	0	0	1	0	0	0	1	2	0	11	1	2	2	1	1	0	5	1	4	2	0	2	2	1	0	5
ABCC13	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCC2	10	8	7	21	18	16	55	17	9	18	9	16	22	14	8	15	7	35	8	24	16	9	25	28	35	12	4	5
ABCC3	52	39	31	294	30	85	43	281	87	1609	721	161	1128	95	88	585	241	207	1560	1644	303	570	262	1532	946	48	82	125
ABCC4	648	452	321	869	521	889	348	1139	760	452	342	699	975	238	252	467	244	156	560	627	396	1733	1064	913	852	147	277	462
ABCC5	895	655	561	818	1287	1369	4559	1422	897	1047	905	1370	1510	1656	856	720	838	3764	573	746	1028	513	992	2620	2941	410	469	592
